,0
0068ed0b40cca6270f857d2614cc63c0_besluit-1_1.png,"Ministerie van Financién
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-10_1.png,"Een geanonimiseerde versie van dit besluit met de daarbij (gedeeltelijk) openbaar _irectie Wetgeving en
gemaakte documenten zal op wobcovid19.rijksoverheid.n! worden geplaatst. duridische Zaken
Sector Juridische Zaken en
Wetgevingsbeleid
Een kopie van dit besluit zend ik aan de derde-belanghebbenden.
Datum
Hoogachtend, 5 oktober 2021
Overeenkomstig het door de Minister van Justitie en Veiligheid genomen besluit, Ons kenmerk
3538334
K. Werkhorst
Hoofd sector Juridische Zaken en Wetgevingsbeleid
BEZWAARCLAUSULE
U kunt tegen dit deelbesluit bezwaar maken binnen zes weken na de verzending
daarvan. Het bezwaarschrift moet door de indiener zijn ondertekend en bevat ten
minste zijn naam en adres, de dagtekening, een omschrijving van het besluit
waartegen het bezwaar is gericht en de gronden waarop het bezwaar berust. Dit
bezwaarschrift moet worden gericht aan: de Minister van Justitie en Veiligheid,
t.a.v. Directie Wetgeving en Juridische Zaken, Sector Juridische Zaken en
Wetgevingsbeleid, Postbus 20301, 2500 EH Den Haag.
|
Pagina 10 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-1_1.png,"Ministerie van Justitie en Veiligheid
> Retouradres Postbus 20301 2500 EH Den Haag
Directie Wetgeving en
Juridische Zaken
Sector Juridische Zaken en
Wetgevingsbeleid
Turfmarkt 147
2511 DP Den Haag
Postbus 20301
2500 EH Den Haag
www. rijksoverheid.nl/jenv
Contactpersoon
Datum 5 oktober 2021
Onderwerp Derde deelbesluit Wob-verzoek aantal aanwezigen in kerkelijke ona kennex
gebouwen periode 14 april - 26 oktober 2020 3538334
Bijlagen
Geachte 3
In uw brief van 26 oktober 2020, ontvangen op 28 oktober 2020, heeft u met een 3! Beantwoording de datum
en ons kenmerk vermelden.
beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht wilt u slechts én zaak in uw
over besluiten en uitlatingen van het kabinet en ministers inzake het aantal brief behandelen.
aanwezigen in kerkelijke gebouwen in de periode 14 april - 26 oktober 2020.
Op 4 mei 2021 heb ik het eerste deelbesluit op uw Wob-verzoek aan u
toegezonden. Dit eerste deelbesluit had betrekking op uitlatingen van het kabinet
en ministers inzake het aantal aanwezigen in kerkelijke gebouwen in de periode
14 april - 26 oktober 2020.
Op 6 juli 2021 heb ik het tweede deelbesluit aan u toegezonden. Dit tweede
deelbesluit had betrekking op:
-Communiqués, protocollen van kerkgenootschappen en overleggen tussen
mijn ministerie en kerkgenootschappen over het aantal aanwezigen in
kerkelijke gebouwen, en
-Aanwijzingen op grond van artikel 7 van de Wet publieke gezondheid voor
zover die betrekking hebben op het aantal aanwezigen in kerkelijke
gebouwen.
Voor de beschrijving van de procedure tot aan het tweede deelbesluit verwijs ik u
naar de eerste twee deelbesluiten.
Op 4 augustus 2021 heeft mijn medewerker, , contact
met u opgenomen om de voortgang van het derde deelbesluit te bespreken.
Zij heeft toegelicht dat het helaas niet lukte om het derde deelbesluit op de
afgesproken datum, te weten 5 augustus 2021, aan u toe te zenden. Als redenen
daarvoor heeft zij aangegeven dat gekozen is om de voor dit deelbesluit relevante
onderdelen van uw verzoek ruimer te interpreteren hetgeen een extra zoekslag
vergde en de afstemming over de beoordeling van de geinventariseerde
documenten vanwege de vakantieperiode langer in beslag nam dan voorzien. Zij
heeft aangegeven dat zij op 18 augustus 2021 opnieuw contact met u zou
opnemen over de planning.
Pagina 1 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-2_1.png,"Op 18 augustus 2021 heeft telefonisch aan u meegedeeld Directie Wetgeving en
dat ik ernaar streef om het derde deelbesluit in de week van 27 september 2021 _—-Juridische Zaken
. "" 2 ; Sector Juridische Zaken en
aan u toe te zenden. U heeft telefonisch met dit uitstel ingestemd. Wetgevingsbeleid
Op 1 oktober 2021 heeft telefonisch aan u meegedeeld dat pe en
het derde deelbesluit op 5 oktober 2021 aan u zal worden toegezonden.
Thans neem ik het derde en daarmee tevens laatste deelbesluit op uw ae
Wob-verzoek. In dit derde deelbesluit worden documenten betrokken over de
Tijdelijke wet maatregelen covid-19 voor zover die zien op het aantal aanwezigen
in kerkelijke gebouwen.
Wettelijk kader
Uw verzoek valt onder de reikwijdte van de Wob. Voor de relevante bepalingen
van de Wob verwiljs ik u naar bijlage 1.
Inventarisatie
Reikwijdte en zoekslaq
U heeft in uw verzoek gevraagd om openbaarmaking van informatie over de
gevolgen van de coronawet voor het aantal aanwezigen in kerkelijke gebouwen.
Dit onderdeel van uw verzoek heb ik opgevat als informatie over:
-de uitzondering op het groepsvormingsverbod voor religieuze
bijeenkomsten;
-de veilige afstandsnorm voor zover in de documenten een relatie wordt
gelegd met kerken;
-de zorgplicht voor beheerders van besloten plaatsen in verband met het
opvolgen van de veilige afstandsnorm en de mogelijkheden tot handhaving
voor zover in de documenten een relatie wordt gelegd met kerken.
U gaf tijdens het telefoongesprek met op 4 augustus 2021
aan dat voor u niet duidelijk was dat ook correspondentie tussen mij en
Kamerleden in de deelbesluiten wordt betrokken. Ter verduidelijking merk ik op
dat de drie deelbesluiten betrekking hebben op verschillende deelonderwerpen.
Dat neemt niet weg dat bij elk deelbesluit telkens is gekeken naar de diverse
onderdelen van uw verzoek waarin u verschillende typen correspondentie vraagt.
Zo wordt in dit derde deelbesluit over de Tijdelijke wet maatregelen covid-19
bijvoorbeeld ook correspondentie tussen mij en Kamerleden (vierde
gedachtestreepje op laatste pagina van uw verzoek) en correspondentie tussen
mij en ambtenaren (vijfde gedachtestreepje op laatste pagina van uw verzoek)
betrokken.
Voor het derde deelbesluit heeft binnen mijn ministerie een zoekslag
plaatsgevonden bij de Directie Wetgeving en Juridische Zaken (DWJZ). Verder is
gezocht naar relevante informatie in de mailbox en telefoon van mij als minister
van Justitie en Veiligheid. Aan de hand van de documenten die werden
aangetroffen, is verder gezocht.
Op basis van deze zoekslag zijn in totaal 120 documenten aangetroffen. Deze
documenten zijn opgenomen in een inventarislijst die als bijlage 2 bij dit
Pagina 2 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-3_1.png,"besluit is gevoegd. In dit besluit wordt verwezen naar de corresponderende Directie Wetgeving en

nummers uit de inventarislijst, zodat per document duidelijk is wat is besloten. Juridische Zaken
Sector Juridische Zaken en
Wetgevingsbeleid

Hieronder geef ik een korte toelichting op het proces van de totstandkoming van

het wetsvoorstel en welke documenten in een bepaalde fase zijn aangetroffen. Datum
5 oktober 2021

De documenten met nummers 37-40 en 79-82 hebben geen betrekking op

gevolgen van de Tijdelijke wet maatregelen covid-19 voor het aantal aanwezigen ons kenmerk

in kerkelijke gebouwen, maar zien wel op deelonderwerpen die in het tweede

deelbesluit reeds zijn betrokken. Omdat deze documenten pas bij de

inventarisatie van de documenten voor het derde deelbesluit zijn aangetroffen,

worden ze in dit derde deelbesluit alsnog meegenomen.

Toelichting op wetgevingsproces en aangetroffen documenten

De documenten met nummers 1-9 hebben geen betrekking op het wetsvoorstel,

maar geven wel inzicht in overwegingen die relevant zijn voor de keuze voor een

tijdelijke wet in plaats van het continueren van het stelsel van aanwijzingen en

noodverordeningen, waaronder overwegingen met betrekking tot de beperking

van religieuze samenkomsten in besloten ruimten. Daarom worden ze in dit

deelbesluit betrokken.

De documenten met nummers 10-12 hebben betrekking op het informeren van de

coalitiepartijen over de stand van zaken van het wetsvoorstel (proces en inhoud). .

In de periode 28 mei 2020 - 4 juni 2020 zijn diverse instanties over het

wetsvoorstel geconsulteerd, waaronder de religieuze koepelorganisaties. De

documenten met nummers 13 en 14 bevatten mijn akkoord met het in consultatie

brengen van het wetsvoorstel en de consultatieversie van het wetsvoorstel en de

memorie van toelichting. De documenten met nummers 15 en 21 betreffen de

consultatie van de religieuze koepelorganisaties en de reactie van het

Interkerkelijk Contact in Overheidszaken (CIO). Van de andere religieuze

koepelorganisaties heb ik geen reactie ontvangen. De documenten met nummers

16-18 betreffen het advies van het College voor de Rechten van de Mens over het

wetsvoorstel. Op pagina 9 van dit advies kunt u informatie vinden over religieuze

samenkomsten.

Op 5 juni 2020 is het wetsvoorstel in de ministerraad besproken. Daarvoor is een

advies aan de Minister voor Rechtsbescherming, de Staatssecretaris van Justitie

van Veiligheid en mij voorbereid. Document met nummer 20 betreft het advies en

document met nummer 19 de begeleidende e-mail. In het advies (document met

nummer 20) is beperkt informatie opgenomen die relevant is voor uw verzoek.

Volledigheidshalve merk ik nog op dat bij document met nummer 19 twee

bijlagen zitten. Beide bijlagen bevatten hetzelfde advies (een wordversie en een

pdf). Om die reden is één bijlage op de inventarislijst opgenomen.

Op 17 juni 2020 heeft de Raad van State geadviseerd over het wetsvoorstel. Dit

advies en het nader rapport staan op de inventarislijst onder nummer 66. Het

advies van de Raad van State bevat geen specifieke passages over het recht op

vrijheid van godsdienst en het aantal aanwezigen in kerkelijke gebouwen. Wel zijn

bepaalde onderdelen van het advies relevant. Ik wijs u in het bijzonder op de

overwegingen van de Raad van State op pagina 4 en 7 met betrekking tot de

wijze waarop de beperking van grondrechten in het wetsvoorstel is geregeld.
Pagina 3 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-4_1.png,"Over het wetsvoorstel en specifiek de positie van kerken heeft in de maanden juni __irectie wetgeving en
en juli 2020 overleg met de coalitiefracties plaatsgevonden. Bij het overleg over Juridische Zaken
ony ree “a Sector Juridische Zaken en

de positie van kerken was ook een andere politieke partij betrokken. De Wetgevingsbeleid
documenten betreffende dit overleg en de interne voorbereiding daarvan staan op
de inventarislijst onder nummers 22-36 en 41-65. Dat overleg heeft geleid tot Datum

- vs pi 5 oktober 2021
een aanpassing ten aanzien van de positie van kerken in het wetsvoorstel.
Aanvankelijk zou de burgemeester op grond van het wetsvoorstel ook bevoegd
zijn tot het geven van schriftelijke aanwijzingen en mondelinge bevelen aan Onis:kenmnerk

- 3538334
beheerders van kerken in verband met hun zorgplicht voor onder meer de
naleving van de veilige afstandsnorm. Naar aanleiding van het overleg met de
coalitiefracties en één andere politieke partij is aan artikel 581 een lid toegevoegd
inhoudende dat bij ministeriéle regeling besloten plaatsen kunnen worden
uitgezonderd van de in het artikel geregelde aanwijzings-en bevelsbevoegdheden.
In de memorie van toelichting is opgenomen dat deze mogelijkheid in het
bijzonder kan worden toegepast op religieuze samenkomsten.
Het wetsvoorstel is op 13 juli 2020 bij de Tweede Kamer ingediend. De koninklijke
boodschap, het voorstel van wet en de memorie van toelichting treft u aan op de
inventarislijst onder de nummers 67-69.
Op 30 september 2020 is de nota naar aanleiding van het verslag bij de Tweede
Kamer ingediend. Deze nota naar aanleiding van het verslag staat op de
inventarislijst onder nummer 70.
Op 7 en 8 oktober 2020 is het wetsvoorstel behandeld in de Tweede Kamer. De
documenten met nummers 71-77 bevatten de voor uw verzoek relevante stukken
in een voorlopig dossier voor mij. De documenten met nummers 83-89 en 92-94.
betreffen voorgestelde antwoorden op vragen van de Tweede Kamer bij de
behandeling van het wetsvoorstel en een inleidende spreektekst daarvoor. De
verslagen van de plenaire behandeling in de Tweede Kamer vindt u onder de
nummers 90, 91, 95 en 96.
Op 13 oktober 2020 is door het lid Van Kooten-Arissen een amendement
ingediend over de groepsgrootte in kerken. Ik verwijs daarvoor naar document
met nummer 97 op de inventarislijst. Op diezelfde datum is het wetsvoorstel door
de Tweede Kamer aangenomen. Het eerdergenoemde amendement is verworpen.
Voor de stemming verwijs ik u naar document met nummer 98.
Op 13 oktober 2020 is het wetsvoorstel bij de Eerste Kamer ingediend. Het
(gewijzigde) wetsvoorstel dat bij de Eerste Kamer is ingediend treft u aan onder
nummer 99. De nota naar aanleiding van het verslag die bij de Eerste Kamer is
ingediend, staat onder nummer 111.
Op 26 oktober 2020 is het wetsvoorstel behandeld in de Eerste Kamer. De
documenten met nummers 100-110 betreffen de voor uw verzoek relevante
stukken in het dossier voor mij. De documenten met nummers 112-117 betreffen
voorgestelde antwoorden op vragen van Forum voor Democratie en de SGP
alsmede een spreektekst. De verslagen van de plenaire behandeling in de Eerste
Kamer treft u aan onder de nummers 119-120.
Op 26 oktober 2020 is ook de consultatieversie van de Tijdelijke regeling
maatregelen covid-19 aan mij voorgelegd. Dit stuk is door de dossierhouder
fysiek aan mij overhandigd. Ik ben op die datum mondeling akkoord gegaan met
Pagina 4 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-5_1.png,"het in consultatie brengen van deze ministeriéle regeling. U treft de Directie Wetgeving en
consultatieversie van de Tijdelijke regeling maatregelen covid-19 aan onder luridiscie/2akeni
; - . 5 . Sector Juridische Zaken en
nummer 118. Voor uw verzoek is relevant artikel 7.1 waarin de uitzondering op Wetgevingsbeleid
de aanwijzings- en bevelsbevoegdheid van de burgemeester voor religieuze en
levensbeschouwelijke gebouwen en plaatsen is opgenomen. Patan
5 oktober 2021
Op 27 oktober 2020 is het wetsvoorstel aangenomen door de Eerste Kamer.
Ons kenmerk
i aa 3538334
Zienswijzen
Over de voorgenomen (gedeeltelijke) openbaarmaking van de documenten met
nummers 9, 14, 24, 25, 30-32, 34, 35, 63-65, 92 en 93 heb ik een zienswijze
gevraagd aan derde-belanghebbenden, namelijk het ministerie van Binnenlandse
Zaken en Koninkrijksrelaties en het ministerie van Volksgezondheid, Welzijn en
Sport. Zij hebben daartegen geen bedenkingen geuit.
Besluit
Ik heb besloten om deels aan uw verzoek tegemoet te komen. Ik maak de
documenten met nummers 14, 32, 35, 77, 84-89, 93, 113 en 117 geheel
openbaar. De documenten met nummers 1, 4, 6-10, 13, 15-17, 19, 20, 22-26,
28, 30, 31, 34, 37, 39-43, 49, 51-53, 55, 59, 63-65, 71, 74, 79-83, 92, 94,
100, 112, 114 en 116 maak ik gedeeltelijk openbaar. De documenten met
nummers 11, 12, 33, 36, 44-48, 50, 54, 56-58, 60-62, 78 en 115 maak ik
niet openbaar. Voor de motivering van de niet openbaar gemaakte
documenten en passages verwijs ik u naar de overwegingen hieronder.
De documenten met nummers 2, 3, 5, 18, 21, 27, 38, 66-70, 72, 73, 75, 76,
90, 91, 95-99, 101-111 en 118-120 zijn reeds openbaar. Op reeds openbare
documenten is de Wob niet van toepassing. Op uw verzoek heb ik de reeds
openbare stukken bij de documentenset gevoegd behoudens de stukken die
ik al in het tweede deelbesluit aan u heb verstrekt!. De documenten met
nummers 72, 73, 102-104, 109 en 110 behelzen dezelfde tekst als de
documenten met nummers 66, 68, 69, 70 en 99. Om die reden heb ik die
documenten ook niet afzonderlijk bijgevoegd.
Overwegingen
Allereerst wil ik u wijzen op het volgende. Ingevolge artikel 3, vijfde lid, van de
Wob wordt een verzoek om informatie ingewilligd met inachtneming van het
bepaalde in de artikelen 10 en 11.
Het recht op openbaarmaking op grond van de Wob dient uitsluitend het publieke
belang van een goede en democratische bestuursvoering. Het komt iedere burger |
in gelijke mate toe. Daarom kan ten aanzien van de openbaarheid geen |
onderscheid_ worden gemaakt naar gelang de persoon of de bedoeling of belangen
van de verzoeker. Bij de te verrichten belangenafweging worden dan ook
betrokken het algemene belang bij openbaarmaking van de gevraagde informatie
en de door de weigeringsgronden te beschermen belangen, maar niet het
specifieke belang van de verzoeker.
1 Op de inventarislijst kunt u zien onder welk nummer van het tweede deelbesluit u het
betreffende document kunt vinden.
Pagina 5 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-6_1.png,"Evenmin kent de Wob een beperkte vorm van openbaarmaking. Dit betekent dat Directie Wetgeving en
openbaarmaking van de gevraagde documenten uitsluitend aan u op grond van Juridische Zaken
Se aoe Sector Juridische Zaken en
de Wob niet mogelijk is. Indien ik aan u de desbetreffende documenten verstrek, Wetgevingsbeleid
moet ik deze ook aan anderen geven indien zij daarom verzoeken. In dat licht
vinden de onderstaande belangenafwegingen dan ook plaats. Datum
5 5 oktober 2021

De eerbiediging van de persoonlijke levenssfeer

Ons kenmerk

- , 3538334

Op grond van artikel 10, tweede lid, aanhef en onder e, van de Wob bilijft
verstrekking van informatie achterwege voor zover het belang daarvan niet
opweegt tegen het belang dat de persoonlijke levenssfeer wordt geéerbiedigd.
In de geinventariseerde documenten staan persoonsgegevens, zoals namen,
initialen, herleidbare functieaanduidingen en directe contactgegevens van
ambtenaren en derden. Het merendeel van deze persoonsgegevens maak ik niet
openbaar op grond van artikel 10, tweede lid, aanhef en onder e, van de Wob. Ik
licht dat hieronder toe.
Het gaat in de eerste plaats om namen, initialen, herleidbare functieaanduidingen,
e-mailadressen en telefoonnummers van ambtenaren. In het kader van goed
werkgeverschap ben ik van oordeel dat ten aanzien van deze gegevens het
belang dat de persoonlijke levenssfeer wordt geéerbiedigd, zwaarder moet wegen
dan het belang van openbaarheid. Dit ter bescherming van de persoonlijke
levenssfeer van de betrokken ambtenaar. Wat betreft namen is van belang dat
het hier niet gaat om het opgeven van een naam aan een individuele burger die
met een ambtenaar in contact treedt, maar om openbaarmaking van een naam in
de zin van de Wob.
Namen en functieaanduidingen van personen die uit hoofde van hun functie in de
openbaarheid treden, zoals bewindspersonen, de voorzitter van het College voor
de Rechten van de Mens alsmede (toenmalige) voorzitters en secretarissen van
religieuze koepelorganisaties, heb ik leesbaar gelaten in de documenten. Directe
contactgegevens, zoals e-mailadressen, van deze personen maak ik niet
openbaar. Deze personen kunnen potentieel hinder ondervinden als hun
contactgegevens voor eenieder openbaar worden. M.i. wordt het algemene belang
van openbaarheid in voldoende mate gediend met de algemene openbare
contactgegevens waarlangs de organisaties bereikbaar zijn.
In document met nummer 17 staat een handtekening van de voorzitter van het
College voor de Rechten van de Mens. Die handtekening maak ik niet openbaar
om het risico op identiteitsfraude te verminderen.
Daar waar ik toepassing heb gegeven aan deze weigeringsgrond, heb ik dit in de
documenten en op de inventarislijst aangeduid met “10.2.e”.
Het voorkomen van onevenredige bevoordeling of benadeling _
Op grond van artikel 10, tweede lid, aanhef en onder g, van de Wob bilijft
verstrekking van informatie achterwege voor zover het belang daarvan niet
opweegt tegen het belang van het voorkomen van onevenredige bevoordeling of
benadeling van bij de aangelegenheid betrokken natuurlijke personen of
rechtspersonen dan wel van derden.

Pagina 6 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-7_1.png,"De documenten met nummers 1, 11, 12, 16, 19, 22-26, 28, 31, 33, 34, 36, 41, Directie Wetgeving en
44-62 en 78 bevatten informatie waarvan openbaarmaking kan leiden tot duridische Zaken
‘ i . Sector Juridische Zaken en

onevenredige benadeling. Het gaat om de volgende informatie. Wetgevingsbeleid
Zoals eerder aangegeven, heeft over het wetsvoorstel en specifiek de positie Datum

eae ‘ 5 oktober 2021
van kerken overleg plaatsgevonden met de coalitiefracties en nog een andere
politieke partij. De documenten met nummers 12, 45-48, 50, 57, 58, 61 en 62
betreffen de correspondentie die tussen mij, de politiek assistent en enkele Ons kerimerks

a 3538334
Kamerleden gevoerd is. Hierin worden (tekst)voorstellen en standpunten
uitgewisseld. Voor het goed functioneren van het kabinet in het algemeen en de
individuele bewindspersonen in het bijzonder is het noodzakelijk dat er
vertrouwelijk met Kamerleden kan worden gecommuniceerd. Het openbaar
maken van vertrouwelijk gewisselde standpunten en voorstellen doet afbreuk aan
de bescherming van de noodzakelijke vertrouwelijkheid waarin besprekingen
binnen de coalitie of met specifieke Kamerfracties plaatsvinden. De daaraan
deelnemende partijen moeten in vertrouwen hun standpunten kunnen bepalen.
Het belang dat dergelijke onderhandelingen tussen coalitiepartijen of met
specifieke Kamerfracties in vertrouwelijkheid moeten kunnen plaatsvinden, weegt
naar mijn oordeel zwaarder dan het belang van eenieder om kennis te kunnen
nemen van hetgeen in dit kader gewisseld is. Ik maak deze correspondentie
derhalve niet openbaar.
De documenten met nummers 11, 36, 41, 44, 49, 51, 53, 54, 56 en 60 bevatten
intern uitgewisselde tekstvoorstellen en memo’s bedoeld om te delen met
Kamerleden. Openbaarmaking daarvan zou de inhoud van de correspondentie
met de Kamerleden prijsgeven. Om die reden maak ik ook deze informatie, voor
zover die onder uw verzoek valt, niet openbaar op grond van artikel 10, tweede
lid, aanhef en onder g, van de Wob. In verband met het eerder geschetste belang
van vertrouwelijkheid van het overleg maak ik voorts de in de documenten met
nummers 34, 41, 53 en 59 specifiek genoemde fracties en Kamerleden niet
openbaar.
De documenten met nummers 23-25, 28, 31, 33, 34 en 52 betreffen interne .
correspondentie en notities waarin de inzet van het kabinet en mijn inzet bij
het overleg met de coalitiefracties inzichtelijk wordt. Daarnaast bevatten de
documenten met nummers 28 en 34 inschattingen van ambtenaren over de
onderhandelingen. Openbaarmaking van die informatie zou de verstandhouding
met de coalitiepartijen onder druk kunnen zetten en daarmee kunnen schaden.
Die informatie maak ik daarom niet openbaar op grond van artikel 10, tweede lid,
aanhef en onder g, van de Wob.
Document met nummer 28 bevat een een interne e-mail waarin ambtenaren
verslag doen van een vertrouwelijke briefing van de coalitiefracties over het
wetsvoorstel. Openbaarmaking van dit verslag kan ook mijn relatie met de
coalitiepartijen schaden. Het belang van het voorkomen van deze onevenredige
benadeling weegt m.i. zwaarder dan het belang van openbaarheid. Ik weiger die
informatie derhalve.
Wel heb ik besloten om vanuit het oogpunt van transparantie de uiteindelijke
uitkomst van het overleg met de coalitiefracties en met nog een andere politieke
partij in de documenten met nummers 63 en 65 openbaar te maken. Ook maak ik
document met nummer 32 openbaar waarin de diverse alternatieve opties voor
de positie van kerken met voor- en nadelen zijn beschreven die aan mij en de
Pagina 7 van 10
"
0272cdb141e62321341591f0959794a2_derde-deelbesluit-aantal-aanwezigen-in-kerken-8_1.png,"andere betrokken bewindspersonen zijn voorgelegd. Aansluitend hierbij maak ik Directie Wetgeving en
voorts een optie die in document met nummer 52 ter overweging aan mij is Juridiache Zaken
Sector Juridische Zaken en
voorgelegd, openbaar. ietgevingsbeleid
Document met nummer 78 betreft een uitwisseling van standpunten tussen de Soleber 3034
politiek assistent en politieke partijen. Het uitwisselen van dergelijke informatie
tussen Kamerleden en politiek assistenten van bewindspersonen is een belangrijk _
politiek proces dat alleen goed kan verlopen in volledige vertrouwelijkheid. ons kenmerk
Zowel beide Kamers als de bewindspersonen hebben baat bij deze vrije
uitwisseling van informatie, onder andere in voorbereiding op Kamerdebatten.
Openbaarmaking van dergelijke berichten zou leiden tot onevenredige benadeling
van het democratisch proces in het algemeen en van de desbetreffende
bewindsperso(o)n(en), de Kamers en andere leden van het kabinet in het
bijzonder. Ik ben dan ook van oordeel dat het algemene belang van
openbaarmaking van de desbetreffende passages in dit document niet opweegt
tegen het belang van het voorkomen van deze onevenredige benadeling.
In de documenten met nummers 1, 16, 19, 22, 26, 46, 48 en 55 staan
e-mailadressen van dienstonderdelen van mijn ministerie die bedoeld zijn
voor intern gebruik. Openbaarmaking hiervan zou naar mijn oordeel kunnen
leiden tot onevenredige benadeling. De werkprocessen zullen worden belemmerd
als derden gebruik kunnen gaan maken van e-mailadressen die niet voor hen
bestemd zijn. Ik weiger deze gegevens. Ik weeg daarbij ook mee dat de
algemene contactgegevens waarlangs mijn ministerie bereikbaar is, reeds
openbaar zijn. Ik verwijs in dit verband ook naar de uitspraak van de rechtbank
Gelderland van 26 maart 2018, ECLI:NL:RBGEL:2018:3272
Daar waar ik toepassing heb gegeven aan deze weigeringsgrond, heb ik dit in de
documenten en op de inventarislijst aangeduid met “10.2.9”.
Persoonlijke beleidsopvattingen in een stuk voor intern beraad
Artikel 11, eerste lid, van de Wob bepaalt dat in geval van een verzoek om
informatie uit documenten, opgesteld ten behoeve van intern beraad, geen
informatie wordt verstrekt over daarin opgenomen persoonlijke
beleidsopvattingen.
Persoonlijke beleidsopvattingen zijn opvattingen, voorstellen, aanbevelingen of
conclusies van een of meer personen over een bestuurlijke aangelegenheid en de
daartoe door hen aangevoerde argumenten. Feiten, prognoses,
beleidsalternatieven, de gevolgen van een bepaald beleidsalternatief of andere
onderdelen met een overwegend objectief karakter worden door mij niet
beschouwd als persoonlijke beleidsopvattingen.
De documenten met nummers 10, 11, 23, 25, 28, 31, 33, 34, 41, 44, 52, 54,
78 en 115 betreffen e-mailwisselingen binnen mijn ministerie en met andere
betrokken ministeries alsmede daarbij gewisselde conceptteksten. Deze
documenten zijn bestemd voor intern beraad en bevatten persoonlijke
beleidsopvattingen die ik niet openbaar maak. Ik licht dat hieronder toe.
In de documenten met nummers 10 en 78 heeft tussen ambtenaren onderling
overleg plaatsgevonden over het informeren van de coalitiefracties en over de
standpunten van politieke partijen met betrekking tot het wetsvoorstel. Deze
Pagina 8 van 10
"
